idx,t_move,x_t,y_t,z_t,disp,xcorr,locked,out_of_range,region_offset_um,z_fallback,n_spot_reads,meas_x,meas_y,ver_x,ver_y,region_id,fov_id,n_z,res_px,residual_um,false_rejection,genuine_failure,focus_error_um
0,2026-07-30 16:20:13.810,10.991952114095094,8.233059877194153,2.81690625,-0.1,0.843,False,False,,2.8168124999999997,2,774.9,127.9,774.9,127.8,A1,0,10,0.0,0.0,True,False,-0.1
1,2026-07-30 16:20:38.339,13.593450994095093,8.233059877194153,2.81690625,1.9,0.941,True,False,0.21,,2,775.9,127.8,775.1,127.9,A1,1,10,0.20000000000004547,0.39368641261384224,False,False,0.39368641261384224
2,2026-07-30 16:21:02.785,16.194949874095094,8.233059877194153,2.81690625,6.1,0.819,False,False,,2.81690625,2,778.0,127.6,774.8,128.2,A1,2,10,-0.10000000000002274,-0.19684320630692112,True,False,6.1
3,2026-07-30 16:21:27.909,18.796448754095096,8.233059877194153,2.81690625,5.6,0.943,True,False,0.21,,2,777.8,127.9,774.8,128.4,A1,3,10,-0.10000000000002274,-0.19684320630692112,False,False,-0.19684320630692112
4,2026-07-30 16:21:52.705,10.991952114095094,10.834558757194152,2.81690625,1.8,0.985,True,False,0.21,,2,775.9,127.8,774.7,128.0,A1,4,10,-0.1999999999999318,-0.3936864126136185,False,False,-0.3936864126136185
5,2026-07-30 16:22:18.262,13.593450994095093,10.834558757194152,2.81690625,4.0,0.941,True,False,0.21,,2,777.0,127.7,775.0,128.0,A1,5,10,0.10000000000002274,0.19684320630692112,False,False,0.19684320630692112
6,2026-07-30 16:22:43.486,16.194949874095094,10.834558757194152,2.81690625,8.6,0.946,True,False,0.21,,2,779.3,127.4,774.9,128.2,A1,6,10,0.0,0.0,False,False,0.0
7,2026-07-30 16:23:09.006,18.796448754095096,10.834558757194152,2.81690625,8.1,0.959,True,False,0.21,,2,779.0,127.5,775.0,128.2,A1,7,10,0.10000000000002274,0.19684320630692112,False,False,0.19684320630692112
8,2026-07-30 16:23:33.786,10.991952114095094,13.436057637194153,2.81690625,3.7,0.961,True,False,0.21,,2,776.8,127.6,775.2,127.9,A1,8,10,0.3000000000000682,0.5905296189207634,False,False,0.5905296189207634
9,2026-07-30 16:23:58.847,13.593450994095093,13.436057637194153,2.81690625,6.8,0.966,True,False,0.21,,2,778.4,127.5,774.9,128.1,A1,9,10,0.0,0.0,False,False,0.0
10,2026-07-30 16:24:23.279,16.194949874095094,13.436057637194153,2.81690625,11.3,0.841,False,False,,2.81690625,2,780.7,127.1,775.0,128.1,A1,10,10,0.10000000000002274,0.19684320630692112,True,False,11.3
11,2026-07-30 16:24:48.133,18.796448754095096,13.436057637194153,2.81690625,11.1,0.934,True,False,0.21,,2,780.5,127.2,775.0,128.1,A1,11,10,0.10000000000002274,0.19684320630692112,False,False,0.19684320630692112
12,2026-07-30 16:25:12.785,10.991952114095094,16.037556517194155,2.81690625,6.5,0.893,False,False,,2.8168124999999997,2,778.2,127.3,774.9,127.8,A1,12,10,0.0,0.0,True,False,6.5
13,2026-07-30 16:25:37.733,13.593450994095093,16.037556517194155,2.81690625,9.6,0.946,True,False,0.21,,2,779.8,127.2,774.9,128.0,A1,13,10,0.0,0.0,False,False,0.0
14,2026-07-30 16:26:02.851,16.194949874095094,16.037556517194155,2.81690625,14.2,0.912,True,False,0.21,,2,782.1,127.0,774.8,128.3,A1,14,10,-0.10000000000002274,-0.19684320630692112,False,False,-0.19684320630692112
15,2026-07-30 16:26:27.995,18.796448754095096,16.037556517194155,2.81690625,14.3,0.95,True,False,0.21,,2,782.2,127.1,774.8,128.3,A1,15,10,-0.10000000000002274,-0.19684320630692112,False,False,-0.19684320630692112
16,2026-07-30 16:26:53.062,107.4919521140951,8.233059877194153,2.82684375,-4.6,0.976,True,False,-1.02,,2,772.6,128.6,774.9,128.2,A6,0,10,0.0,0.0,False,False,0.0
17,2026-07-30 16:27:20.962,110.0934509940951,8.233059877194153,2.82684375,-45.5,0.135,False,False,,2.82675,2,751.8,133.8,740.6,138.5,A6,1,10,-34.299999999999955,-67.51721976325851,False,True,-45.5
18,2026-07-30 16:27:45.803,112.6949498740951,8.233059877194153,2.82684375,-5.4,0.849,False,False,,2.82684375,2,772.2,128.9,775.0,128.5,A6,2,10,0.10000000000002274,0.19684320630692112,True,False,-5.4
19,2026-07-30 16:28:10.309,107.4919521140951,10.834558757194152,2.82684375,-3.6,0.959,True,False,-1.02,,2,773.1,128.5,774.8,128.2,A6,3,10,-0.10000000000002274,-0.19684320630692112,False,False,-0.19684320630692112
20,2026-07-30 16:28:35.372,110.0934509940951,10.834558757194152,2.82684375,-2.9,0.935,True,False,-1.02,,2,773.4,128.5,774.9,128.3,A6,4,10,0.0,0.0,False,False,0.0
