region,x_t,y_t,z_t_csv,fov_id,x_a,y_a,z_a,z_t_log,locked,disp,xcorr,residual_um,focus_error_um,false_rejection,dx_um,dy_um,dr_um,dz_um
A1,10.991952114095094,8.233059877194153,,0,10.99185,8.232775,2816.8124999999995,2.81690625,False,-0.1,0.843,0.0,-0.1,True,-0.1021140950943078,-0.2848771941525996,0.30262568325439143,-0.09375000000045475
A1,13.593450994095091,8.233059877194153,,1,13.5937625,8.232775,2815.125,2.81690625,True,1.9,0.941,0.39368641261384224,0.39368641261384224,False,0.3115059049090263,-0.2848771941525996,0.42212669252423407,-1.78125
A1,16.194949874095094,8.233059877194153,,2,16.19488125,8.232775,2816.90625,2.81690625,False,6.1,0.819,-0.19684320630692112,6.1,True,-0.06862409509267309,-0.2848771941525996,0.2930260776373771,0.0
A1,18.796448754095096,8.233059877194153,,3,18.79679375,8.232775,2811.375,2.81690625,True,5.6,0.943,-0.19684320630692112,-0.19684320630692112,False,0.3449959049035556,-0.2848771941525996,0.4474116562501262,-5.53125
A1,10.991952114095094,10.834558757194152,,4,10.99185,10.8346875,2815.2187499999995,2.81690625,True,1.8,0.985,-0.3936864126136185,-0.3936864126136185,False,-0.1021140950943078,0.12874280584718178,0.16432284830276792,-1.6875000000004547
A1,13.593450994095091,10.834558757194152,,5,13.5937625,10.8346875,2813.0624999999995,2.81690625,True,4.0,0.941,0.19684320630692112,0.19684320630692112,False,0.3115059049090263,0.12874280584718178,0.337061773048497,-3.8437500000004547
A1,16.194949874095094,10.834558757194152,,6,16.19488125,10.8346875,2808.4687500000005,2.81690625,True,8.6,0.946,0.0,0.0,False,-0.06862409509267309,0.12874280584718178,0.1458902892062847,-8.437499999999545
A1,18.796448754095096,10.834558757194152,,7,18.79679375,10.8346875,2808.9375000000005,2.81690625,True,8.1,0.959,0.19684320630692112,0.19684320630692112,False,0.3449959049035556,0.12874280584718178,0.36823482244028516,-7.968749999999545
A1,10.991952114095094,13.436057637194152,,8,10.99185,13.43580625,2813.3437499999995,2.81690625,True,3.7,0.961,0.5905296189207634,0.5905296189207634,False,-0.1021140950943078,-0.2513871941509649,0.2713352350875652,-3.5625000000004547
A1,13.593450994095091,13.436057637194152,,9,13.5937625,13.43580625,2810.25,2.81690625,True,6.8,0.966,0.0,0.0,False,0.3115059049090263,-0.2513871941509649,0.4002892081686518,-6.65625
A1,16.194949874095094,13.436057637194152,,10,16.19488125,13.43580625,2816.90625,2.81690625,False,11.3,0.841,0.19684320630692112,11.3,True,-0.06862409509267309,-0.2513871941509649,0.2605854712189134,0.0
A1,18.796448754095096,13.436057637194152,,11,18.79679375,13.43580625,2806.0312499999995,2.81690625,True,11.1,0.934,0.19684320630692112,0.19684320630692112,False,0.3449959049035556,-0.2513871941509649,0.4268696472968277,-10.875000000000455
A1,10.991952114095094,16.037556517194155,,12,10.99185,16.03771875,2816.8124999999995,2.81690625,False,6.5,0.893,0.0,6.5,True,-0.1021140950943078,0.16223280584526378,0.19169447490565916,-0.09375000000045475
A1,13.593450994095091,16.037556517194155,,13,13.5937625,16.03771875,2807.4375,2.81690625,True,9.6,0.946,0.0,0.0,False,0.3115059049090263,0.16223280584526378,0.35121989135813253,-9.46875
A1,16.194949874095094,16.037556517194155,,14,16.19488125,16.03771875,2802.9375,2.81690625,True,14.2,0.912,-0.19684320630692112,-0.19684320630692112,False,-0.06862409509267309,0.16223280584526378,0.1761497934137741,-13.96875
A1,18.796448754095096,16.037556517194155,,15,18.79679375,16.03771875,2802.7499999999995,2.81690625,True,14.3,0.95,-0.19684320630692112,-0.19684320630692112,False,0.3449959049035556,0.16223280584526378,0.3812370098674186,-14.156250000000455
A6,107.4919521140951,8.233059877194153,,0,107.49200625,8.232775,2830.40625,2.82684375,True,-4.6,0.976,0.0,0.0,False,0.054135904903773735,-0.2848771941525996,0.28997536438119764,3.5625
A6,110.0934509940951,8.233059877194153,,1,110.093125,8.232775,2826.75,2.82684375,False,-45.5,0.135,-67.51721976325851,-45.5,False,-0.3259940950925966,-0.2848771941525996,0.4329285920143169,-0.09375
A6,112.6949498740951,8.233059877194153,,2,112.6950375,8.232775,2826.84375,2.82684375,False,-5.4,0.849,0.19684320630692112,-5.4,True,0.08762590489652666,-0.2848771941525996,0.2980491821112634,0.0
A6,107.4919521140951,10.834558757194152,,3,107.49200625,10.8346875,2829.4687499999995,2.82684375,True,-3.6,0.959,-0.19684320630692112,-0.19684320630692112,False,0.054135904903773735,0.12874280584718178,0.13966175660199745,2.6249999999995453
A6,110.0934509940951,10.834558757194152,,4,110.093125,10.8346875,2828.7187499999995,2.82684375,True,-2.9,0.935,0.0,0.0,False,-0.3259940950925966,0.12874280584718178,0.3504951641501578,1.8749999999995453
A6,112.6949498740951,10.834558757194152,,5,112.6950375,10.8346875,2828.8124999999995,2.82684375,True,-3.0,0.961,-0.19684320630692112,-0.19684320630692112,False,0.08762590489652666,0.12874280584718178,0.15573377689615148,1.9687499999995453
A6,107.4919521140951,13.436057637194152,,6,107.49200625,13.43580625,2827.96875,2.82684375,True,-2.1,0.951,0.19684320630692112,0.19684320630692112,False,0.054135904903773735,-0.2513871941509649,0.2571501848781085,1.125
A6,110.0934509940951,13.436057637194152,,7,110.093125,13.43580625,2826.84375,2.82684375,False,-1.5,0.845,0.19684320630692112,-1.5,True,-0.3259940950925966,-0.2513871941509649,0.4116645131880277,0.0
A6,112.6949498740951,13.436057637194152,,8,112.6950375,13.43580625,2827.21875,2.82684375,True,-1.4,0.952,0.19684320630692112,0.19684320630692112,False,0.08762590489652666,-0.2513871941509649,0.26622137515990346,0.375
A6,107.4919521140951,16.037556517194155,,9,107.49200625,16.03771875,2826.09375,2.82684375,True,-0.3,0.973,0.39368641261384224,0.39368641261384224,False,0.054135904903773735,0.16223280584526378,0.17102683851424455,-0.75
A6,110.0934509940951,16.037556517194155,,10,110.093125,16.03771875,2826.75,2.82684375,False,0.4,0.863,0.19684320630692112,0.4,True,-0.3259940950925966,0.16223280584526378,0.36413134076548254,-0.09375
A6,112.6949498740951,16.037556517194155,,11,112.6950375,16.03771875,2826.84375,2.82684375,False,0.1,0.885,0.19684320630692112,0.1,True,0.08762590489652666,0.16223280584526378,0.18438487601037726,0.0
D1,10.991952114095094,66.13305987719416,,0,10.99185,66.13286875,2732.4374999999995,2.7324374999999996,False,-6.7,0.81,0.0,-6.7,True,-0.1021140950943078,-0.19112719415659285,0.21669539165174065,0.0
D1,13.593450994095091,66.13305987719416,,1,13.5937625,66.13286875,2732.34375,2.7324374999999996,False,-5.6,0.863,0.0,-5.6,True,0.3115059049090263,-0.19112719415659285,0.36546618604101155,-0.09374999999954525
D1,16.194949874095094,66.13305987719416,,2,16.19488125,66.13286875,2733.28125,2.7324374999999996,True,-3.6,0.961,0.19684320630692112,0.19684320630692112,False,-0.06862409509267309,-0.19112719415659285,0.20307356000587615,0.8437500000004547
D1,18.796448754095096,66.13305987719416,,3,18.79679375,66.13286875,2736.1875,2.7324374999999996,True,-6.5,0.955,-0.3936864126136185,-0.3936864126136185,False,0.3449959049035556,-0.19112719415659285,0.3944005308647481,3.7500000000004547
D1,10.991952114095094,68.73455875719415,,4,10.99185,68.73478125000001,2732.34375,2.7324374999999996,False,-6.3,0.885,0.0,-6.3,True,-0.1021140950943078,0.2224928058609521,0.24480673413288423,-0.09374999999954525
D1,13.593450994095091,68.73455875719415,,5,13.5937625,68.73478125000001,2732.4374999999995,2.7324374999999996,False,-7.5,0.879,0.19684320630692112,-7.5,True,0.3115059049090263,0.2224928058609521,0.38280409800976617,0.0
D1,16.194949874095094,68.73455875719415,,6,16.19488125,68.73478125000001,2736.84375,2.7324374999999996,True,-7.2,0.921,-1.3779024441480003,-1.3779024441480003,False,-0.06862409509267309,0.2224928058609521,0.23283538194863676,4.406250000000455
D1,18.796448754095096,68.73455875719415,,7,18.79679375,68.73478125000001,2737.125,2.7324374999999996,True,-7.5,0.904,0.39368641261384224,0.39368641261384224,False,0.3449959049035556,0.2224928058609521,0.4105182371833223,4.687500000000455
D1,10.991952114095094,71.33605763719416,,8,10.99185,71.3359,2734.0312499999995,2.7324374999999996,True,-4.4,0.935,0.39368641261384224,0.39368641261384224,False,-0.1021140950943078,-0.15763719416383992,0.1878211207526393,1.59375
D1,13.593450994095091,71.33605763719416,,9,13.5937625,71.3359,2732.34375,2.7324374999999996,False,-6.9,0.849,-0.5905296189205396,-6.9,True,0.3115059049090263,-0.15763719416383992,0.3491209156968965,-0.09374999999954525
D1,16.194949874095094,71.33605763719416,,10,16.19488125,71.3359,2732.625,2.7324374999999996,True,-3.0,0.93,0.7873728252274608,0.7873728252274608,False,-0.06862409509267309,-0.15763719416383992,0.1719265872724065,0.18750000000045475
D1,18.796448754095096,71.33605763719416,,11,18.79679375,71.3359,2732.4374999999995,2.7324374999999996,False,-6.8,0.88,0.7873728252274608,-6.8,True,0.3449959049035556,-0.15763719416383992,0.379304177915392,0.0
D1,10.991952114095094,73.93755651719415,,12,10.99185,73.9378125,2732.34375,2.7324374999999996,False,-4.1,0.823,-0.19684320630692112,-4.1,True,-0.1021140950943078,0.25598280585370503,0.27559841311165956,-0.09374999999954525
D1,13.593450994095091,73.93755651719415,,13,13.5937625,73.9378125,2731.40625,2.7324374999999996,True,-1.8,0.95,0.0,0.0,False,0.3115059049090263,0.25598280585370503,0.4031911775893999,-1.0312499999995453
D1,16.194949874095094,73.93755651719415,,14,16.19488125,73.9378125,2730.9375,2.7324374999999996,True,-1.3,0.961,0.0,0.0,False,-0.06862409509267309,0.25598280585370503,0.2650216280231179,-1.4999999999995453
D1,18.796448754095096,73.93755651719415,,15,18.79679375,73.9378125,2734.40625,2.7324374999999996,True,-4.8,0.962,0.0,0.0,False,0.3449959049035556,0.25598280585370503,0.42959209873199344,1.9687500000004547
D6,107.4919521140951,66.13305987719416,,0,107.49200625,66.13286875,2796.5625,2.7920625,True,-5.9,0.956,-0.19684320630692112,-0.19684320630692112,False,0.054135904903773735,-0.19112719415659285,0.19864616922035616,4.5
D6,110.0934509940951,66.13305987719416,,1,110.093125,66.13286875,2796.2812500000005,2.7920625,True,-5.7,0.964,0.19684320630692112,0.19684320630692112,False,-0.3259940950925966,-0.19112719415659285,0.3778911938394607,4.218750000000455
D6,112.6949498740951,66.13305987719416,,2,112.6950375,66.13286875,2795.90625,2.7920625,True,-5.2,0.955,0.39368641261384224,0.39368641261384224,False,0.08762590489652666,-0.19112719415659285,0.2102567562650653,3.84375
D6,107.4919521140951,68.73455875719415,,3,107.49200625,68.73478125000001,2791.9687499999995,2.7920625,False,-3.5,0.896,0.0,-3.5,True,0.054135904903773735,0.2224928058609521,0.22898415853423085,-0.09375000000045475
D6,110.0934509940951,68.73455875719415,,4,110.093125,68.73478125000001,2794.40625,2.7920625,True,-3.7,0.901,-0.19684320630692112,-0.19684320630692112,False,-0.3259940950925966,0.2224928058609521,0.39468366915179076,2.34375
D6,112.6949498740951,68.73455875719415,,5,112.6950375,68.73478125000001,2793.3749999999995,2.7920625,True,-2.7,0.946,0.0,0.0,False,0.08762590489652666,0.2224928058609521,0.23912621744345486,1.3124999999995453
D6,107.4919521140951,71.33605763719416,,6,107.49200625,71.3359,2792.0625,2.7920625,False,-2.0,0.895,0.19684320630692112,-2.0,True,0.054135904903773735,-0.15763719416383992,0.1666738767281742,0.0
D6,110.0934509940951,71.33605763719416,,7,110.093125,71.3359,2792.1562499999995,2.7920625,True,-1.5,0.946,0.39368641261384224,0.39368641261384224,False,-0.3259940950925966,-0.15763719416383992,0.36210721481225566,0.09374999999954525
D6,112.6949498740951,71.33605763719416,,8,112.6950375,71.3359,2792.53125,2.7920625,True,-1.8,0.977,0.19684320630692112,0.19684320630692112,False,0.08762590489652666,-0.15763719416383992,0.18035460679667514,0.46875
D6,107.4919521140951,73.93755651719415,,9,107.49200625,73.9378125,2789.9062499999995,2.7920625,True,0.7,0.967,0.0,0.0,False,0.054135904903773735,0.25598280585370503,0.2616445930885752,-2.1562500000004547
D6,110.0934509940951,73.93755651719415,,10,110.093125,73.9378125,2789.9062499999995,2.7920625,True,0.8,0.917,0.39368641261384224,0.39368641261384224,False,-0.3259940950925966,0.25598280585370503,0.41448684771410604,-2.1562500000004547
D6,112.6949498740951,73.93755651719415,,11,112.6950375,73.9378125,2790.28125,2.7920625,True,0.4,0.944,0.0,0.0,False,0.08762590489652666,0.25598280585370503,0.27056514206687965,-1.78125
