region,fov_id,x_t,y_t,z_t_log,z_a,dz_um,locked,disp,xcorr,residual_um,focus_error_um,false_rejection
A1,0,10.991952114095094,8.233059877194153,2.81690625,2816.8124999999995,-0.09375000000045475,False,-0.1,0.843,0.0,-0.1,True
A1,1,13.593450994095091,8.233059877194153,2.81690625,2815.125,-1.78125,True,1.9,0.941,0.39368641261384224,0.39368641261384224,False
A1,2,16.194949874095094,8.233059877194153,2.81690625,2816.90625,0.0,False,6.1,0.819,-0.19684320630692112,6.1,True
A1,3,18.796448754095096,8.233059877194153,2.81690625,2811.375,-5.53125,True,5.6,0.943,-0.19684320630692112,-0.19684320630692112,False
A1,4,10.991952114095094,10.834558757194152,2.81690625,2815.2187499999995,-1.6875000000004547,True,1.8,0.985,-0.3936864126136185,-0.3936864126136185,False
A1,5,13.593450994095091,10.834558757194152,2.81690625,2813.0624999999995,-3.8437500000004547,True,4.0,0.941,0.19684320630692112,0.19684320630692112,False
A1,6,16.194949874095094,10.834558757194152,2.81690625,2808.4687500000005,-8.437499999999545,True,8.6,0.946,0.0,0.0,False
A1,7,18.796448754095096,10.834558757194152,2.81690625,2808.9375000000005,-7.968749999999545,True,8.1,0.959,0.19684320630692112,0.19684320630692112,False
A1,8,10.991952114095094,13.436057637194152,2.81690625,2813.3437499999995,-3.5625000000004547,True,3.7,0.961,0.5905296189207634,0.5905296189207634,False
A1,9,13.593450994095091,13.436057637194152,2.81690625,2810.25,-6.65625,True,6.8,0.966,0.0,0.0,False
A1,10,16.194949874095094,13.436057637194152,2.81690625,2816.90625,0.0,False,11.3,0.841,0.19684320630692112,11.3,True
A1,11,18.796448754095096,13.436057637194152,2.81690625,2806.0312499999995,-10.875000000000455,True,11.1,0.934,0.19684320630692112,0.19684320630692112,False
A1,12,10.991952114095094,16.037556517194155,2.81690625,2816.8124999999995,-0.09375000000045475,False,6.5,0.893,0.0,6.5,True
A1,13,13.593450994095091,16.037556517194155,2.81690625,2807.4375,-9.46875,True,9.6,0.946,0.0,0.0,False
A1,14,16.194949874095094,16.037556517194155,2.81690625,2802.9375,-13.96875,True,14.2,0.912,-0.19684320630692112,-0.19684320630692112,False
A1,15,18.796448754095096,16.037556517194155,2.81690625,2802.7499999999995,-14.156250000000455,True,14.3,0.95,-0.19684320630692112,-0.19684320630692112,False
A6,0,107.4919521140951,8.233059877194153,2.82684375,2830.40625,3.5625,True,-4.6,0.976,0.0,0.0,False
A6,1,110.0934509940951,8.233059877194153,2.82684375,2826.75,-0.09375,False,-45.5,0.135,-67.51721976325851,-45.5,False
A6,2,112.6949498740951,8.233059877194153,2.82684375,2826.84375,0.0,False,-5.4,0.849,0.19684320630692112,-5.4,True
A6,3,107.4919521140951,10.834558757194152,2.82684375,2829.4687499999995,2.6249999999995453,True,-3.6,0.959,-0.19684320630692112,-0.19684320630692112,False
A6,4,110.0934509940951,10.834558757194152,2.82684375,2828.7187499999995,1.8749999999995453,True,-2.9,0.935,0.0,0.0,False
A6,5,112.6949498740951,10.834558757194152,2.82684375,2828.8124999999995,1.9687499999995453,True,-3.0,0.961,-0.19684320630692112,-0.19684320630692112,False
A6,6,107.4919521140951,13.436057637194152,2.82684375,2827.96875,1.125,True,-2.1,0.951,0.19684320630692112,0.19684320630692112,False
A6,7,110.0934509940951,13.436057637194152,2.82684375,2826.84375,0.0,False,-1.5,0.845,0.19684320630692112,-1.5,True
A6,8,112.6949498740951,13.436057637194152,2.82684375,2827.21875,0.375,True,-1.4,0.952,0.19684320630692112,0.19684320630692112,False
A6,9,107.4919521140951,16.037556517194155,2.82684375,2826.09375,-0.75,True,-0.3,0.973,0.39368641261384224,0.39368641261384224,False
A6,10,110.0934509940951,16.037556517194155,2.82684375,2826.75,-0.09375,False,0.4,0.863,0.19684320630692112,0.4,True
A6,11,112.6949498740951,16.037556517194155,2.82684375,2826.84375,0.0,False,0.1,0.885,0.19684320630692112,0.1,True
D1,0,10.991952114095094,66.13305987719416,2.7324374999999996,2732.4374999999995,0.0,False,-6.7,0.81,0.0,-6.7,True
D1,1,13.593450994095091,66.13305987719416,2.7324374999999996,2732.34375,-0.09374999999954525,False,-5.6,0.863,0.0,-5.6,True
D1,2,16.194949874095094,66.13305987719416,2.7324374999999996,2733.28125,0.8437500000004547,True,-3.6,0.961,0.19684320630692112,0.19684320630692112,False
D1,3,18.796448754095096,66.13305987719416,2.7324374999999996,2736.1875,3.7500000000004547,True,-6.5,0.955,-0.3936864126136185,-0.3936864126136185,False
D1,4,10.991952114095094,68.73455875719415,2.7324374999999996,2732.34375,-0.09374999999954525,False,-6.3,0.885,0.0,-6.3,True
D1,5,13.593450994095091,68.73455875719415,2.7324374999999996,2732.4374999999995,0.0,False,-7.5,0.879,0.19684320630692112,-7.5,True
D1,6,16.194949874095094,68.73455875719415,2.7324374999999996,2736.84375,4.406250000000455,True,-7.2,0.921,-1.3779024441480003,-1.3779024441480003,False
D1,7,18.796448754095096,68.73455875719415,2.7324374999999996,2737.125,4.687500000000455,True,-7.5,0.904,0.39368641261384224,0.39368641261384224,False
D1,8,10.991952114095094,71.33605763719416,2.7324374999999996,2734.0312499999995,1.59375,True,-4.4,0.935,0.39368641261384224,0.39368641261384224,False
D1,9,13.593450994095091,71.33605763719416,2.7324374999999996,2732.34375,-0.09374999999954525,False,-6.9,0.849,-0.5905296189205396,-6.9,True
D1,10,16.194949874095094,71.33605763719416,2.7324374999999996,2732.625,0.18750000000045475,True,-3.0,0.93,0.7873728252274608,0.7873728252274608,False
