idx,t_move,x_t,y_t,z_t,disp,xcorr,locked,out_of_range,region_offset_um,z_fallback,n_spot_reads,meas_x,meas_y,ver_x,ver_y,region_id,fov_id,n_z,res_px,residual_um,false_rejection,genuine_failure,focus_error_um
0,2026-07-30 19:50:44.432,10.991952114095094,8.233059877194153,2.80725,-6.7,0.957,True,False,3.28,,2,770.3,128.8,773.5,128.2,A1,0,1,-0.2999999999999545,-0.5668983632334164,False,False,-0.5668983632334164
1,2026-07-30 19:50:47.771,13.593450994095093,8.233059877194153,2.80725,-5.5,0.987,True,False,3.28,,2,770.9,128.7,773.8,128.3,A1,1,1,0.0,0.0,False,False,0.0
2,2026-07-30 19:50:49.007,16.194949874095094,8.233059877194153,2.80725,-1.8,0.967,True,False,3.28,,2,772.9,128.6,773.8,128.5,A1,2,1,0.0,0.0,False,False,0.0
3,2026-07-30 19:50:50.099,18.796448754095096,8.233059877194153,2.80725,-2.3,0.996,True,False,3.28,,2,772.6,128.8,774.0,128.6,A1,3,1,0.20000000000004547,0.3779322421557541,False,False,0.3779322421557541
4,2026-07-30 19:50:51.338,10.991952114095094,10.834558757194152,2.80725,-5.3,0.989,True,False,3.28,,2,771.0,128.7,773.9,128.3,A1,4,1,0.10000000000002274,0.18896612107787705,False,False,0.18896612107787705
5,2026-07-30 19:50:52.928,13.593450994095093,10.834558757194152,2.80725,-2.6,0.977,True,False,3.28,,2,772.4,128.6,773.7,128.4,A1,5,1,-0.09999999999990905,-0.18896612107766222,False,False,-0.18896612107766222
6,2026-07-30 19:50:54.098,16.194949874095094,10.834558757194152,2.80725,1.5,0.998,True,False,3.28,,2,774.6,128.4,773.9,128.5,A1,6,1,0.10000000000002274,0.18896612107787705,False,False,0.18896612107787705
7,2026-07-30 19:50:55.410,18.796448754095096,10.834558757194152,2.80725,0.9,0.996,True,False,3.28,,2,774.3,128.4,773.7,128.5,A1,7,1,-0.09999999999990905,-0.18896612107766222,False,False,-0.18896612107766222
8,2026-07-30 19:50:56.672,10.991952114095094,13.436057637194153,2.80725,-3.1,0.992,True,False,3.28,,2,772.1,128.6,773.9,128.3,A1,8,1,0.10000000000002274,0.18896612107787705,False,False,0.18896612107787705
9,2026-07-30 19:50:58.233,13.593450994095093,13.436057637194153,2.80725,-0.1,0.995,True,False,3.28,,2,773.8,128.3,773.9,128.3,A1,9,1,0.10000000000002274,0.18896612107787705,False,False,0.18896612107787705
10,2026-07-30 19:50:59.418,16.194949874095094,13.436057637194153,2.80725,4.5,0.997,True,False,3.28,,2,776.2,128.1,773.9,128.5,A1,10,1,0.10000000000002274,0.18896612107787705,False,False,0.18896612107787705
11,2026-07-30 19:51:00.674,18.796448754095096,13.436057637194153,2.80725,3.9,0.983,True,False,3.28,,2,775.8,128.1,773.9,128.4,A1,11,1,0.10000000000002274,0.18896612107787705,False,False,0.18896612107787705
12,2026-07-30 19:51:01.876,10.991952114095094,16.037556517194155,2.80725,0.1,0.936,True,False,3.28,,2,773.8,128.2,773.8,128.3,A1,12,1,0.0,0.0,False,False,0.0
13,2026-07-30 19:51:03.487,13.593450994095093,16.037556517194155,2.80725,2.9,0.996,True,False,3.28,,2,775.4,128.1,773.7,128.4,A1,13,1,-0.09999999999990905,-0.18896612107766222,False,False,-0.18896612107766222
14,2026-07-30 19:51:04.720,16.194949874095094,16.037556517194155,2.80725,7.5,0.997,True,False,3.28,,2,777.8,127.9,773.9,128.5,A1,14,1,0.10000000000002274,0.18896612107787705,False,False,0.18896612107787705
15,2026-07-30 19:51:05.985,18.796448754095096,16.037556517194155,2.80725,7.6,0.951,True,False,3.28,,2,777.8,128.0,774.0,128.6,A1,15,1,0.20000000000004547,0.3779322421557541,False,False,0.3779322421557541
16,2026-07-30 19:51:07.224,107.4919521140951,8.233059877194153,2.8271249999999997,-2.6,0.915,True,False,1.0,,2,772.4,128.6,773.8,128.4,A6,0,1,0.0,0.0,False,False,0.0
17,2026-07-30 19:51:11.540,110.0934509940951,8.233059877194153,2.8271249999999997,-8.0,0.608,False,False,,2.8271249999999997,2,769.6,128.6,773.9,128.0,A6,1,1,0.10000000000002274,0.18896612107787705,True,False,-8.0
18,2026-07-30 19:51:12.872,112.6949498740951,8.233059877194153,2.8271249999999997,-3.0,0.88,False,False,,2.8271249999999997,2,772.2,129.0,773.8,128.7,A6,2,1,0.0,0.0,True,False,-3.0
19,2026-07-30 19:51:14.106,107.4919521140951,10.834558757194152,2.8271249999999997,-0.6,0.994,True,False,1.0,,2,773.5,128.4,773.8,128.3,A6,3,1,0.0,0.0,False,False,0.0
