region,fov_id,x_t,y_t,z_t_log,z_a,dz_um,locked,disp,xcorr,residual_um,focus_error_um,false_rejection
A1,0,10.991952114095094,8.233059877194153,2.80725,2817.1875,9.9375,True,-6.7,0.957,-0.5668983632334164,-0.5668983632334164,False
A1,1,13.593450994095091,8.233059877194153,2.80725,2816.0624999999995,8.812499999999545,True,-5.5,0.987,0.0,0.0,False
A1,2,16.194949874095094,8.233059877194153,2.80725,2812.3125,5.0625,True,-1.8,0.967,0.0,0.0,False
A1,3,18.796448754095096,8.233059877194153,2.80725,2812.8749999999995,5.624999999999545,True,-2.3,0.996,0.3779322421557541,0.3779322421557541,False
A1,4,10.991952114095094,10.834558757194152,2.80725,2815.78125,8.53125,True,-5.3,0.989,0.18896612107787705,0.18896612107787705,False
A1,5,13.593450994095091,10.834558757194152,2.80725,2813.15625,5.90625,True,-2.6,0.977,-0.18896612107766222,-0.18896612107766222,False
A1,6,16.194949874095094,10.834558757194152,2.80725,2809.03125,1.78125,True,1.5,0.998,0.18896612107787705,0.18896612107787705,False
A1,7,18.796448754095096,10.834558757194152,2.80725,2809.5937499999995,2.3437499999995453,True,0.9,0.996,-0.18896612107766222,-0.18896612107766222,False
A1,8,10.991952114095094,13.436057637194152,2.80725,2813.625,6.375,True,-3.1,0.992,0.18896612107787705,0.18896612107787705,False
A1,9,13.593450994095091,13.436057637194152,2.80725,2810.625,3.375,True,-0.1,0.995,0.18896612107787705,0.18896612107787705,False
A1,10,16.194949874095094,13.436057637194152,2.80725,2805.9375,-1.3125,True,4.5,0.997,0.18896612107787705,0.18896612107787705,False
A1,11,18.796448754095096,13.436057637194152,2.80725,2806.59375,-0.65625,True,3.9,0.983,0.18896612107787705,0.18896612107787705,False
A1,12,10.991952114095094,16.037556517194155,2.80725,2810.4375,3.1875,True,0.1,0.936,0.0,0.0,False
A1,13,13.593450994095091,16.037556517194155,2.80725,2807.5312500000005,0.28125000000045475,True,2.9,0.996,-0.18896612107766222,-0.18896612107766222,False
A1,14,16.194949874095094,16.037556517194155,2.80725,2802.9375,-4.3125,True,7.5,0.997,0.18896612107787705,0.18896612107787705,False
A1,15,18.796448754095096,16.037556517194155,2.80725,2802.9375,-4.3125,True,7.6,0.951,0.3779322421557541,0.3779322421557541,False
A6,0,107.4919521140951,8.233059877194153,2.8271249999999997,2830.78125,3.6562500000004547,True,-2.6,0.915,0.0,0.0,False
A6,1,110.0934509940951,8.233059877194153,2.8271249999999997,2827.1249999999995,0.0,False,-8.0,0.608,0.18896612107787705,-8.0,True
A6,2,112.6949498740951,8.233059877194153,2.8271249999999997,2827.1249999999995,0.0,False,-3.0,0.88,0.0,-3.0,True
A6,3,107.4919521140951,10.834558757194152,2.8271249999999997,2828.8124999999995,1.6875,True,-0.6,0.994,0.0,0.0,False
A6,4,110.0934509940951,10.834558757194152,2.8271249999999997,2828.3437499999995,1.21875,True,-0.2,0.994,0.0,0.0,False
A6,5,112.6949498740951,10.834558757194152,2.8271249999999997,2827.8749999999995,0.75,True,0.2,0.996,0.0,0.0,False
A6,6,107.4919521140951,13.436057637194152,2.8271249999999997,2826.9374999999995,-0.1875,True,1.2,0.973,0.0,0.0,False
A6,7,110.0934509940951,13.436057637194152,2.8271249999999997,2825.90625,-1.2187499999995453,True,2.2,0.993,-0.18896612107766222,-0.18896612107766222,False
A6,8,112.6949498740951,13.436057637194152,2.8271249999999997,2826.4687499999995,-0.65625,True,1.7,0.992,0.0,0.0,False
A6,9,107.4919521140951,16.037556517194155,2.8271249999999997,2824.1249999999995,-3.0,True,4.0,0.997,0.0,0.0,False
A6,10,110.0934509940951,16.037556517194155,2.8271249999999997,2823.75,-3.3749999999995453,True,4.3,0.997,0.0,0.0,False
A6,11,112.6949498740951,16.037556517194155,2.8271249999999997,2824.03125,-3.0937499999995453,True,4.1,0.966,0.0,0.0,False
D1,0,10.991952114095094,66.13305987719416,2.7327187499999996,2737.875,5.156250000000455,True,-3.4,0.975,0.18896612107787705,0.18896612107787705,False
D1,1,13.593450994095091,66.13305987719416,2.7327187499999996,2736.375,3.6562500000004547,True,-1.9,0.934,0.0,0.0,False
D1,2,16.194949874095094,66.13305987719416,2.7327187499999996,2734.1249999999995,1.40625,True,0.3,0.969,0.3779322421557541,0.3779322421557541,False
D1,3,18.796448754095096,66.13305987719416,2.7327187499999996,2736.9375,4.218750000000455,True,-2.5,0.977,0.0,0.0,False
D1,4,10.991952114095094,68.73455875719415,2.7327187499999996,2737.875,5.156250000000455,True,-3.4,0.986,0.0,0.0,False
D1,5,13.593450994095091,68.73455875719415,2.7327187499999996,2738.53125,5.812500000000455,True,-4.0,0.984,-0.18896612107766222,-0.18896612107766222,False
D1,6,16.194949874095094,68.73455875719415,2.7327187499999996,2732.7187499999995,0.0,False,23.6,0.743,-37.793224215566816,23.6,False
D1,7,18.796448754095096,68.73455875719415,2.7327187499999996,2737.6875000000005,4.9687500000009095,True,-3.1,0.993,-0.18896612107766222,-0.18896612107766222,False
D1,8,10.991952114095094,71.33605763719416,2.7327187499999996,2736.5625,3.8437500000004547,True,-2.0,0.975,0.0,0.0,False
D1,9,13.593450994095091,71.33605763719416,2.7327187499999996,2736.375,3.6562500000004547,True,-1.9,0.968,0.0,0.0,False
D1,10,16.194949874095094,71.33605763719416,2.7327187499999996,2733.3749999999995,0.65625,True,1.1,0.965,0.0,0.0,False
D1,11,18.796448754095096,71.33605763719416,2.7327187499999996,2736.5625,3.8437500000004547,True,-2.1,0.986,-0.18896612107766222,-0.18896612107766222,False
D1,12,10.991952114095094,73.93755651719415,2.7327187499999996,2735.34375,2.6250000000004547,True,-0.8,0.901,0.0,0.0,False
D1,13,13.593450994095091,73.93755651719415,2.7327187499999996,2732.7187499999995,0.0,False,2.9,0.884,0.3779322421557541,2.9,True
