idx,t_move,move_s,acquire_s,cycle_s,t_rel_s
0,2026-07-30 19:50:44.432,2.572007599999779,0.7643055000080494,3.339,0.1
1,2026-07-30 19:50:47.771,0.47705620000488125,,1.236,3.5
2,2026-07-30 19:50:49.007,0.45783849999133963,0.7586988999973983,1.092,4.7
3,2026-07-30 19:50:50.099,0.4687763999972958,,1.239,5.8
4,2026-07-30 19:50:51.338,0.8236284000013256,0.769893900011084,1.59,7.0
5,2026-07-30 19:50:52.928,0.4707023999944795,,1.17,8.6
6,2026-07-30 19:50:54.098,0.4666265999985626,0.699608700000681,1.312,9.8
7,2026-07-30 19:50:55.410,0.4929091000085464,0.8430304000066826,1.262,11.1
8,2026-07-30 19:50:56.672,0.8129898000042886,,1.561,12.4
9,2026-07-30 19:50:58.233,0.46620270000130404,0.7485561000066809,1.185,13.9
10,2026-07-30 19:50:59.418,0.45151900000928435,0.7164066000113962,1.256,15.1
11,2026-07-30 19:51:00.674,0.38527569999860134,0.8145587999897543,1.202,16.4
12,2026-07-30 19:51:01.876,0.7560112999926787,,1.611,17.6
13,2026-07-30 19:51:03.487,0.45887829999264795,0.8550781000085408,1.233,19.2
14,2026-07-30 19:51:04.720,0.44964030000846833,0.7721473999990849,1.265,20.4
15,2026-07-30 19:51:05.985,0.38412289999541827,0.8137608000106411,1.239,21.7
16,2026-07-30 19:51:07.224,3.516115499995067,0.7978629999997793,4.316,22.9
17,2026-07-30 19:51:11.540,0.4857759000005899,0.8456657999922754,1.332,27.2
18,2026-07-30 19:51:12.872,0.37867150000238325,0.8098050999979023,1.234,28.6
19,2026-07-30 19:51:14.106,0.6302788999892073,,1.371,29.8
20,2026-07-30 19:51:15.477,0.46717619999253657,0.7393000000010943,1.167,31.2
21,2026-07-30 19:51:16.644,0.5164155999955256,0.7678307999885874,1.301,32.4
22,2026-07-30 19:51:17.945,0.7180633999960264,0.8352236000064295,1.554,33.7
23,2026-07-30 19:51:19.499,0.35289300000295043,,1.21,35.2
24,2026-07-30 19:51:20.709,0.36807570001110435,0.8554604000091786,1.173,36.4
25,2026-07-30 19:51:21.882,0.6361752999946475,0.7979120999953011,1.418,37.6
26,2026-07-30 19:51:23.300,0.38169930000731256,0.7804181999963475,1.161,39.0
27,2026-07-30 19:51:24.461,0.36892639999859966,0.7793029000022216,1.142,40.2
28,2026-07-30 19:51:25.603,2.2919576999993296,0.7705120000027819,3.016,41.3
29,2026-07-30 19:51:28.619,0.4924208999873372,0.7745742999977665,1.269,44.3
30,2026-07-30 19:51:29.888,0.4865129999961937,0.7373059999954421,1.226,45.6
31,2026-07-30 19:51:31.114,0.7266015999921365,0.7453266000084113,1.473,46.8
32,2026-07-30 19:51:32.587,0.4725370000087423,,1.306,48.3
33,2026-07-30 19:51:33.893,0.3555089999863412,0.8332509000028949,1.015,49.6
34,2026-07-30 19:51:34.908,0.7459185000043362,0.6511316999967676,1.516,50.6
35,2026-07-30 19:51:36.424,0.3676768000004813,0.7682072000025073,1.146,52.1
36,2026-07-30 19:51:37.570,0.37196360000234563,0.8070090999972308,1.181,53.3
37,2026-07-30 19:51:38.751,0.645524799998384,0.831504000001587,1.478,54.5
38,2026-07-30 19:51:40.229,0.38701079999736976,,1.23,55.9
39,2026-07-30 19:51:41.459,0.4041276000061771,0.8413889999937965,1.201,57.2
40,2026-07-30 19:51:42.660,4.039746800001012,0.795090400002664,4.815,58.4
41,2026-07-30 19:51:47.475,0.46131339999556076,,1.16,63.2
42,2026-07-30 19:51:48.635,0.43855299999995623,0.6980026000092039,1.224,64.3
43,2026-07-30 19:51:49.859,0.4646892999880947,,1.245,65.6
44,2026-07-30 19:51:51.104,0.8203162999998312,0.7798260999988997,1.602,66.8
45,2026-07-30 19:51:52.706,0.4668095000088215,0.7806883000012022,1.219,68.4
46,2026-07-30 19:51:53.925,0.4650534999964293,0.7515202999929897,1.408,69.6
47,2026-07-30 19:51:55.333,0.3249789000110468,0.9414170999953058,1.102,71.0
48,2026-07-30 19:51:56.435,0.8489748000138206,0.770811100010178,1.618,72.1
49,2026-07-30 19:51:58.053,0.47561639999912586,0.7607787999877473,1.244,73.8
50,2026-07-30 19:51:59.297,0.4713915999891469,0.7664724999922328,1.261,75.0
51,2026-07-30 19:52:00.558,0.4672651000000769,0.7893704000016442,1.267,76.3
52,2026-07-30 19:52:01.825,0.8326456000067992,,1.619,77.5
53,2026-07-30 19:52:03.444,0.45381440001074225,0.785217399999965,1.279,79.2
54,2026-07-30 19:52:04.723,0.36162209999747574,0.8241345999995247,1.213,80.4
55,2026-07-30 19:52:05.936,0.35284690000116825,0.7252141000062693,,81.6
